ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
151201,d,I,S,,,,1a,I maximized A by moving the slider all the way to the right,
,,I,S,,,,1b,The example showed that moving the slider more to the right resulted in greater A,
,,I,,,,,2a,I tried to maximize A by moving both levels all the way to the right,
,,I,S,,,,2b,"The example showed that when both levers were at 10, the level of A was greatest",
,,I,S,,,,3a,I maximized all levers so that the level of A would be greatest,
,,I,S,,,,3b,The examples showed that maximizing all three levers resulted in the greatest level of A,
,,I,,,C,,4a,I tried to maximize both A & B,
,,I,S,,C,,4b,"This position on the lever resulted in the greatest combined amount of A & B. I valued A and B equally, so I looked for the position that would result in the greatest combined amount of both",
,,I,,,C,,5a,I tried to maximize A & B (combined) ,
,,I,S,,C,,5b,"I knew that I was judged by levels of A and B, so I chose the lever position that would result in the greatest combined level of both. I sacrificed some A to increase the level of B",
,,I,S,,C,,6a,I tried to increase A while keeping B as high as I could by increasing A in periods 1 + 2 and cutting it in period 3. This preserved B the most,
,,I,S,,C,,6b,"I noticed that cutting A in the third period helped preserve more B, so I maximized A in the first two periods but cut some in the third so that B would be as high as I could keep it",
,,I,,,C,,7a,I tried to get A higher without decreasing B or C by much,
,,I,S,,C,,7b,"I noticed that increasing A meant sacrificing B and C, but I could increase A a little while sacrificing some B and C.  Though 3 wasn't an example option, I predicted it would result in an acceptable level of A while B and C were still fairly high",
,,I,,,C,,8a,"I tried to maximize A, B and C by making shifts that would sacrifice any level the least",
,,I,,,C,,8b,I realized that a lower input of A initially (1st period) did not sacrifice the ending level of A much while it increased my level of B and C.  I could increase the level of A in the 2nd period to increase my ending level of A without sacrificing much B or C,
,,I,,,C,,9a,I tried to keep all three (ABC) as high as I could with any move of the lever,
,,I,S,,S,,9b,"I saw that choosing a lower value of A for period 1 meant C would be higher, so I chose a lower 1st period A input.  Then I increased A in period 2 and 3 so that my ending level of A would be greater but this meant that I had to sacrifice some b. The end option maximized A and C while sacrificing B",
151202,a,I,S,,,,1a,The goal was to maximize the economic benefit. There was no other stated goal for this task. So I maximized the economic benefit by sliding the bar to the right until the benefit was as high as it could go.,
,,,,,,,1b,I used this strategy because I was instructed to maximize the benefit. There were no instructions to provide balance.,
,,,S,,,,2a,The instructions were to maximize the economic benefits so I moved the sliders to do that.,
,,,S,,,,2b,"As there was only one graph, economic benefits, and only one stated goal, to maximize the economic benefits, I adjusted the bars all the way to maximize the benefits.",
,,,S,,,,3a,"Again, the only goal was to maximize the economic benefits. All 3 sliders were moved to the right as that did achieve maximum economic benefits.",
,,,S,,,,3b,"I used this strategy as there was only one stated goal, to maximize the benefits. The only way to do that was to produce as much as possible. ",
,,I,S,,T,,4a,I wanted to find the point in which the water quality would begin to degrade rapidly and stop that from happening. I found the spot where .1 more would take the lake from healthy to unhealthy rapidly and there was an extreme drop in the quality of the water.,
,,I,S,,T,,4b,I used this strategy to provide the healthiest water possible to continue the ecosystem's health state with as little impact as possible from the factory. More profits would have meant a very unhealthy lake. Once you go past the point I selected you may as well maximize profits as the lake would be dead. I chose life.,
,,I,,,C,,5a,I was trying to ensure that the lake remained healthy (it was ~75%) and have the roughly the same economic benefits over the course of the 100 years.,
,,I,,,C,,5b,I wanted to make sure the lake remained as healthy as possible while ensuring that the town received economic benefits that did not decrease over time.,
,,I,,,C,,6a,I was trying to find a balance where the lake would remain as healthy as possible and the economic benefits would increase over time. I started out with less economic benefits and they increased but it seemed to allow for more pollution into the lake with less impact as time went on.,
,,I,,,C,,6b,I wanted to make sure that the town had use of the healthiest lake possible while giving them the opportunity for their factory to produce more over time so that their economy could grow.,
,,I,S,,T,,7a,I wanted to find the point in which the water quality remained the best I could get with the most reliability and the most economic profits. I increased the slider by .1 to see where a drastic change occurred and knew that I had found the balance point.,
,,I,S,,C,,7b,I used this strategy so that we would have the healthiest lake that would reliably continue to be healthy while maximizing the profits for the town.,
,,I,S,,C,,8a,I first found the optimal balance for the first 50 years. I then added in the second 50 but needed to adjust the first year down so that the lake remained healthy and economic benefits did not decrease.,
,,I,S,,T,,8b,"I wanted to ensure that economic benefits did not decrease and they even increased a very small amount while ensuring that the lake was going to as reliably as possible remain healthy. There was a sudden drop off in benefits, health, and reliability which let me see this point.",
,,I,S,,C,,9a,I found the point that was best for the first 1/3. I added in the second at the same point and then had to step back the 1st to get the 3 factors back to an acceptable level. I then added in the 3rd at the same level as the 2nd 1/3 and adjusted the 1st and 2nd years until I found a good balance point for all factors.,
,,I,,,C,,9b,"I wanted to make sure the healthy of the lake, the economic benefits and the reliability of them all stayed as high as possible. I also wanted to ensure that the economic benefits did not decline over time. ",
151203,c,I,S,,,,1a,I maximized the amount of A by moving the slider all the way up.,
,,I,,,,,1b,I figured that the slider corresponded to the amount of A produced.,
,,I,,,,,2a,I was trying to maximize the amount A. So I checked if moving the slider up correlated with an increase in A in both parts.,
,,I,S,,,,2b,"The amount of A went up when I moved the slider up, so I figured that the slider corresponded to the amount of A produced in both parts.",
,,I,,,,,3a,I was trying to maximize the amount of A produced. So I started with the first slider and checked to see if A increased as I moved it up. I repeated this strategy with the second and third sliders,
,,I,S,,,,3b,I used it because A increased as I moved each slider all the way up.,
,,I,,,S,,4a,I was trying to maximize both A and B. But increasing one led to a decrease in the other. I chose to maximize A and get some B.,
,,I,,,S,,4b,I think I chose to maximize A over B.,
,,I,,,C,,5a,I was trying to maximize the amount of A and B by moving the sliders. I tried to maximize both with the first slider and then see if I could make it better with the second slider.,
,,I,,,C,,5b,I felt that any more movement of the second slider would decrease the optimal amount of B while keeping A the same.,
,,I,S,,,,6a,"I maximized B with the first slider, then I moved the second slider at different intervals to see the effect, and did the same with the third slider.",
,,I,,,,,6b,I think I saw that movement of the sliders in either direction would not be beneficial for either A or B.,
,,I,,,T,,7a,"I tried to maximize all three. I moved the slider over and saw the effect. Once I reached a point where B and C were high, and any further movement of the slider caused A to go higher but causing B and C to plummet I stopped.",
,,I,,,S,,7b,"I felt that maximizing two objectives was better than maximizing only one, ",
,,I,,,C,,8a,"I wsa trying to maximize A, B, and C. I moved the first slider to a point where I thought they were all maximized, then I did the same thing with the second slider,",
,,I,,,S,,8b,It seemed to me that I could not move the sliders  without drastically affecting one of the objectives. Again I tried to get the most out of B and C because I felt that maximizing two objectives was better than only one.,
,,I,S,,T,,9a,"I moved the first slider to maximize all the three together, then I moved the other sliders to accomplish the same goal. As soon as I saw a drastic change in moving the slider I stopped and returned it to the previous setting.",
,,I,,,S,,9b,"I wanted to maximize all three, but felt that getting really high values for B and C was best. Two objectives optimized is better than only one.",
151204,b,I,,O,C,,1a,trying to balance between economic benefit and the health of the lake,
,,I,,O,S,,1b,"I tried to not to fully maximize the economic benefit, but try to favor it over the health of the lake",
,,I,S,,,,2a,optimize the economic benefits,
,,I,S,,,,2b,"according the examples provided, the more waste is produced in the first 50 years in causes more economic benefits than if  more waste is produced in the second 50 years ",
,,I,S,,,,3a,optimize the economic benefits ( find the best way to get  economic benefits 50% over the bar),
,,I,,,,,3b,"According to the example, the best way to optimize the economic benefits is to produce more during the first 33 years if the amount of the waste is produced in the second 33 years is constant. so I chose to maximize the production of the waste in the first 33 years and production no waste during the last 33 years",
,,I,,,C,,4a,balance the amount of waste produced and the health of the lake,
,,I,S,,T,,4b,"The quality of the lake drop significantly if the amount of waste produced per year changes from 0.02 to 0.03, but the economic benefit only increase a small amount. so I chose to produce 0.02 wastes per year",
,,I,,,C,,5a,Balance the amount of waste produced and the health of the lake,
